,loan_amnt,term,int_rate,home_ownership,annual_inc,purpose,addr_state,bad_loan
282,35000,36 months,9.99,MORTGAGE,85000.0,home_improvement,OR,0
2430,35000,36 months,10.16,MORTGAGE,120000.0,credit_card,NC,0
2519,35000,36 months,10.16,MORTGAGE,130000.0,home_improvement,MA,0
2277,35000,36 months,10.16,OWN,124000.0,debt_consolidation,CA,0
2334,35000,36 months,10.16,MORTGAGE,250000.0,debt_consolidation,CA,0
2327,35000,36 months,10.16,MORTGAGE,120000.0,debt_consolidation,TX,0
2403,35000,36 months,10.16,MORTGAGE,275000.0,moving,NY,0
2354,35000,36 months,10.16,MORTGAGE,140000.0,debt_consolidation,NY,1
2191,35000,36 months,10.16,MORTGAGE,125000.0,debt_consolidation,MI,0
2357,35000,36 months,10.16,RENT,130000.0,major_purchase,CA,0
2230,35000,36 months,10.16,RENT,110640.0,debt_consolidation,NY,0
455,35000,60 months,10.37,RENT,70000.0,debt_consolidation,VA,0
463,35000,60 months,10.37,MORTGAGE,74000.0,debt_consolidation,FL,0
434,35000,36 months,10.37,OWN,242400.0,debt_consolidation,CA,0
440,35000,36 months,10.37,MORTGAGE,410000.0,home_improvement,FL,0
452,35000,36 months,10.37,RENT,85000.0,debt_consolidation,AL,0
2710,35000,36 months,10.49,RENT,112000.0,credit_card,NY,0
2727,35000,60 months,10.49,RENT,137000.0,credit_card,PA,0
2659,35000,60 months,10.49,MORTGAGE,225000.0,home_improvement,WA,0
287,35000,36 months,10.59,MORTGAGE,110000.0,small_business,TX,1
279,35000,36 months,10.59,MORTGAGE,60000.0,small_business,CO,0
223,35000,36 months,10.59,RENT,120000.0,credit_card,CA,0
214,35000,36 months,10.59,OWN,300000.0,debt_consolidation,NY,0
362,35000,36 months,10.59,MORTGAGE,140000.0,debt_consolidation,MI,0
1303,35000,36 months,10.64,RENT,165000.0,debt_consolidation,NY,0
1241,35000,36 months,10.64,MORTGAGE,115000.0,debt_consolidation,CA,0
1221,35000,36 months,10.64,MORTGAGE,140000.0,debt_consolidation,TX,0
1107,35000,36 months,10.64,MORTGAGE,400000.0,debt_consolidation,KS,0
1288,35000,36 months,10.64,MORTGAGE,140000.0,debt_consolidation,NY,0
1190,35000,36 months,10.64,MORTGAGE,450000.0,home_improvement,NY,0
35,35000,36 months,10.65,MORTGAGE,365000.0,house,MA,0
159,35000,36 months,10.65,MORTGAGE,225000.0,debt_consolidation,MD,1
59,35000,36 months,10.65,MORTGAGE,160000.0,debt_consolidation,NY,0
102,35000,36 months,10.65,MORTGAGE,156000.0,debt_consolidation,CT,0
82,35000,36 months,10.65,MORTGAGE,90000.0,debt_consolidation,NY,0
41,35000,36 months,10.65,MORTGAGE,112800.0,debt_consolidation,NY,0
2,35000,36 months,10.65,MORTGAGE,168000.0,debt_consolidation,TX,0
458,35000,60 months,10.74,MORTGAGE,105600.0,home_improvement,TX,0
2566,35000,36 months,10.74,OWN,110000.0,car,CA,0
351,35000,60 months,10.99,MORTGAGE,150000.0,major_purchase,GA,0
2648,35000,60 months,10.99,MORTGAGE,111650.0,debt_consolidation,IL,0
845,35000,36 months,10.99,MORTGAGE,250000.0,debt_consolidation,NC,1
402,35000,60 months,10.99,MORTGAGE,158000.0,moving,GA,0
327,35000,60 months,10.99,MORTGAGE,48712.44,small_business,CA,0
807,35000,36 months,10.99,MORTGAGE,130000.0,debt_consolidation,MI,0
605,35000,36 months,10.99,MORTGAGE,300000.0,debt_consolidation,CA,0
261,35000,60 months,10.99,MORTGAGE,370008.0,debt_consolidation,NJ,0
344,35000,60 months,10.99,OWN,92500.0,debt_consolidation,NY,0
228,35000,60 months,10.99,MORTGAGE,90000.0,small_business,FL,0
309,35000,36 months,10.99,OWN,104000.0,debt_consolidation,NC,0
306,35000,60 months,10.99,MORTGAGE,60000.0,moving,MT,0
348,35000,60 months,10.99,MORTGAGE,90000.0,debt_consolidation,NJ,0
749,35000,36 months,10.99,MORTGAGE,95000.0,credit_card,IL,0
800,35000,36 months,10.99,MORTGAGE,170000.0,home_improvement,CA,0
893,35000,36 months,10.99,MORTGAGE,155000.0,debt_consolidation,NC,0
225,35000,36 months,10.99,RENT,82000.0,small_business,IL,1
573,35000,36 months,10.99,MORTGAGE,180000.0,credit_card,CA,0
786,35000,36 months,10.99,MORTGAGE,82000.0,credit_card,AZ,0
215,35000,36 months,10.99,MORTGAGE,80000.0,other,AL,0
821,35000,36 months,10.99,MORTGAGE,145000.0,home_improvement,VA,0
353,35000,60 months,10.99,MORTGAGE,135000.0,debt_consolidation,CA,1
395,35000,36 months,10.99,MORTGAGE,390000.0,home_improvement,CA,0
199,35000,60 months,10.99,MORTGAGE,73000.0,credit_card,CA,0
563,35000,36 months,10.99,MORTGAGE,185000.0,debt_consolidation,NJ,0
233,35000,60 months,10.99,MORTGAGE,75000.0,credit_card,MO,0
374,35000,60 months,10.99,MORTGAGE,86400.0,debt_consolidation,NY,0
953,35000,36 months,10.99,MORTGAGE,170000.0,home_improvement,VA,0
357,35000,60 months,10.99,MORTGAGE,120000.0,home_improvement,OH,0
551,35000,36 months,10.99,RENT,126675.0,debt_consolidation,VA,0
468,35000,36 months,11.11,MORTGAGE,450000.0,major_purchase,FL,0
462,35000,36 months,11.11,RENT,78956.8,debt_consolidation,NJ,0
1868,35000,36 months,11.14,MORTGAGE,124000.0,home_improvement,WA,0
1785,35000,36 months,11.14,MORTGAGE,164500.0,credit_card,IL,0
1852,35000,36 months,11.14,MORTGAGE,200000.0,debt_consolidation,WA,0
2043,35000,36 months,11.14,MORTGAGE,110000.0,debt_consolidation,NY,0
1653,35000,36 months,11.14,MORTGAGE,212000.0,debt_consolidation,CA,0
1915,35000,36 months,11.14,MORTGAGE,165000.0,home_improvement,CA,0
2473,35000,36 months,11.14,MORTGAGE,333000.0,small_business,CA,0
2104,35000,36 months,11.14,MORTGAGE,98000.0,debt_consolidation,GA,0
1997,35000,36 months,11.14,MORTGAGE,155000.0,credit_card,CA,0
1937,35000,36 months,11.14,MORTGAGE,110000.0,debt_consolidation,NY,0
1683,35000,36 months,11.14,MORTGAGE,93000.0,debt_consolidation,GA,0
2034,35000,36 months,11.14,MORTGAGE,110000.0,credit_card,NC,0
1813,35000,36 months,11.14,OWN,96000.0,house,CA,0
1450,35000,36 months,11.14,MORTGAGE,129996.0,home_improvement,CA,0
2077,35000,36 months,11.14,MORTGAGE,180000.0,major_purchase,CA,1
2130,35000,36 months,11.14,MORTGAGE,88000.0,debt_consolidation,IL,0
1682,35000,36 months,11.14,MORTGAGE,176000.0,major_purchase,VA,0
2076,35000,36 months,11.14,MORTGAGE,140000.0,debt_consolidation,WA,0
2269,35000,36 months,11.14,MORTGAGE,102000.0,debt_consolidation,OH,0
2047,35000,36 months,11.14,MORTGAGE,340000.0,credit_card,IL,1
2285,35000,36 months,11.14,MORTGAGE,246733.0,other,SC,1
2048,35000,36 months,11.14,MORTGAGE,400000.0,debt_consolidation,FL,0
2200,35000,36 months,11.14,MORTGAGE,94000.0,debt_consolidation,KY,0
1982,35000,36 months,11.14,MORTGAGE,130000.0,debt_consolidation,MN,0
1563,35000,36 months,11.14,OWN,110000.0,debt_consolidation,NY,0
1711,35000,36 months,11.14,MORTGAGE,185000.0,credit_card,CA,0
2023,35000,36 months,11.14,MORTGAGE,600000.0,house,FL,0
1615,35000,36 months,11.14,RENT,139000.0,major_purchase,OH,0
1935,35000,36 months,11.14,MORTGAGE,155000.0,home_improvement,TX,0
1562,35000,36 months,11.14,MORTGAGE,145000.0,home_improvement,MN,0
2151,35000,36 months,11.14,MORTGAGE,135000.0,debt_consolidation,IL,0
1839,35000,36 months,11.14,RENT,120000.0,debt_consolidation,NJ,0
1889,35000,36 months,11.14,MORTGAGE,97000.0,debt_consolidation,OH,1
2491,35000,36 months,11.14,MORTGAGE,100000.0,small_business,AZ,0
2208,35000,36 months,11.14,MORTGAGE,120000.0,home_improvement,GA,0
2067,35000,36 months,11.14,MORTGAGE,102865.92,debt_consolidation,CA,0
2154,35000,36 months,11.14,MORTGAGE,179980.0,credit_card,TX,0
2052,35000,36 months,11.14,MORTGAGE,150000.0,home_improvement,CA,0
2069,35000,36 months,11.14,MORTGAGE,108000.0,debt_consolidation,CA,0
1780,35000,36 months,11.14,RENT,166632.75,house,DC,0
1583,35000,36 months,11.14,RENT,94000.0,home_improvement,MD,0
2223,35000,36 months,11.14,MORTGAGE,142800.0,debt_consolidation,IL,0
1738,35000,36 months,11.14,MORTGAGE,130000.0,home_improvement,NC,0
2387,35000,36 months,11.14,RENT,100000.0,other,CA,0
2676,35000,36 months,11.44,MORTGAGE,100000.0,credit_card,AZ,0
2725,35000,60 months,11.44,MORTGAGE,100000.0,debt_consolidation,GA,0
2666,35000,60 months,11.44,OWN,88000.0,other,CA,0
2686,35000,60 months,11.44,RENT,100000.0,debt_consolidation,FL,0
2669,35000,60 months,11.44,RENT,195000.0,major_purchase,CA,0
2678,35000,60 months,11.44,MORTGAGE,190000.0,credit_card,CA,0
197,35000,60 months,11.49,RENT,84012.0,debt_consolidation,CA,0
255,35000,60 months,11.49,MORTGAGE,110000.0,debt_consolidation,MI,0
192,35000,60 months,11.49,RENT,92000.0,debt_consolidation,OH,0
238,35000,36 months,11.49,RENT,165000.0,debt_consolidation,NY,0
263,35000,60 months,11.49,RENT,70000.0,debt_consolidation,NY,0
265,35000,60 months,11.49,MORTGAGE,118000.0,credit_card,CA,0
206,35000,60 months,11.49,MORTGAGE,66000.0,small_business,CA,1
335,35000,60 months,11.49,MORTGAGE,140967.0,home_improvement,WI,0
2624,35000,36 months,11.53,RENT,250000.0,debt_consolidation,AZ,0
2635,35000,36 months,11.53,MORTGAGE,200000.0,debt_consolidation,CA,0
2605,35000,36 months,11.53,MORTGAGE,112000.0,debt_consolidation,TX,0
2629,35000,60 months,11.53,RENT,158000.0,debt_consolidation,PA,0
1015,35000,36 months,11.55,MORTGAGE,90000.0,debt_consolidation,TN,1
1210,35000,36 months,11.55,RENT,112500.0,credit_card,CA,0
1305,35000,36 months,11.55,OWN,320000.0,home_improvement,FL,0
1034,35000,36 months,11.55,MORTGAGE,137500.0,debt_consolidation,GA,0
1336,35000,36 months,11.55,MORTGAGE,155000.0,debt_consolidation,NJ,0
1354,35000,36 months,11.55,OWN,300000.0,debt_consolidation,NJ,0
1299,35000,36 months,11.55,MORTGAGE,160000.0,debt_consolidation,CA,0
1058,35000,36 months,11.55,MORTGAGE,160000.0,debt_consolidation,TX,0
1139,35000,36 months,11.55,MORTGAGE,114000.0,home_improvement,VA,0
379,35000,36 months,11.63,MORTGAGE,487000.0,home_improvement,PA,1
116,35000,60 months,11.71,MORTGAGE,75000.0,debt_consolidation,VA,0
210,35000,60 months,11.71,MORTGAGE,130000.0,debt_consolidation,NJ,0
166,35000,60 months,11.71,OWN,90000.0,debt_consolidation,IL,0
85,35000,60 months,11.71,RENT,80000.0,debt_consolidation,IL,0
25,35000,60 months,11.71,MORTGAGE,75000.0,debt_consolidation,AZ,0
110,35000,60 months,11.71,MORTGAGE,88000.0,small_business,TX,1
170,35000,60 months,11.71,RENT,80000.0,debt_consolidation,VA,1
99,35000,60 months,11.71,MORTGAGE,110000.0,small_business,CA,1
75,35000,60 months,11.71,MORTGAGE,280000.0,major_purchase,TX,0
80,35000,36 months,11.71,MORTGAGE,250000.0,small_business,CA,0
195,35000,60 months,11.71,MORTGAGE,90000.0,debt_consolidation,FL,0
175,35000,60 months,11.71,MORTGAGE,108000.0,credit_card,TX,0
90,35000,60 months,11.71,MORTGAGE,82000.0,credit_card,NJ,1
15,35000,60 months,11.71,MORTGAGE,90000.0,small_business,CA,1
73,35000,60 months,11.71,MORTGAGE,68000.0,debt_consolidation,IL,0
184,35000,60 months,11.71,MORTGAGE,51000.0,small_business,KS,1
246,35000,60 months,11.99,MORTGAGE,85000.0,debt_consolidation,NY,0
672,35000,36 months,11.99,MORTGAGE,110000.0,credit_card,NJ,0
903,35000,36 months,11.99,OWN,96000.0,debt_consolidation,TX,0
242,35000,60 months,11.99,MORTGAGE,55000.0,debt_consolidation,OH,0
234,35000,60 months,11.99,MORTGAGE,74000.0,debt_consolidation,TX,0
956,35000,36 months,11.99,MORTGAGE,300000.0,credit_card,TX,0
333,35000,36 months,11.99,MORTGAGE,95000.0,debt_consolidation,GA,0
525,35000,36 months,11.99,RENT,80000.0,credit_card,NY,0
2675,35000,36 months,11.99,MORTGAGE,169000.0,debt_consolidation,CA,0
918,35000,36 months,11.99,MORTGAGE,100000.0,debt_consolidation,MA,0
916,35000,36 months,11.99,MORTGAGE,198000.0,home_improvement,AR,0
859,35000,36 months,11.99,MORTGAGE,110000.0,credit_card,PA,0
637,35000,36 months,11.99,MORTGAGE,175000.0,credit_card,TX,1
733,35000,36 months,11.99,MORTGAGE,110000.0,debt_consolidation,AZ,0
332,35000,36 months,11.99,RENT,80000.0,credit_card,TX,0
391,35000,36 months,11.99,OWN,100505.0,debt_consolidation,NY,0
812,35000,36 months,11.99,MORTGAGE,235000.0,credit_card,MI,0
538,35000,36 months,11.99,RENT,94000.0,credit_card,TX,1
963,35000,36 months,11.99,MORTGAGE,225000.0,debt_consolidation,NY,0
833,35000,36 months,11.99,MORTGAGE,170000.0,credit_card,VA,0
722,35000,36 months,11.99,MORTGAGE,95000.0,debt_consolidation,OH,0
735,35000,36 months,11.99,MORTGAGE,100000.0,debt_consolidation,TX,0
925,35000,36 months,11.99,MORTGAGE,175000.0,home_improvement,SC,0
822,35000,36 months,11.99,MORTGAGE,85000.0,credit_card,NV,0
656,35000,36 months,11.99,MORTGAGE,80000.0,credit_card,FL,1
922,35000,36 months,11.99,MORTGAGE,210000.0,debt_consolidation,FL,0
661,35000,36 months,11.99,RENT,180000.0,debt_consolidation,FL,0
349,35000,36 months,11.99,MORTGAGE,79750.0,debt_consolidation,MO,0
978,35000,36 months,11.99,MORTGAGE,120000.0,credit_card,CO,0
284,35000,36 months,11.99,RENT,85000.0,debt_consolidation,FL,0
2016,35000,36 months,12.12,MORTGAGE,320000.0,debt_consolidation,MA,1
1696,35000,36 months,12.12,MORTGAGE,98000.0,major_purchase,MD,0
1425,35000,36 months,12.12,MORTGAGE,125000.0,debt_consolidation,NY,0
1975,35000,36 months,12.12,MORTGAGE,350000.0,debt_consolidation,CA,0
1989,35000,36 months,12.12,MORTGAGE,110000.0,debt_consolidation,HI,0
1930,35000,36 months,12.12,MORTGAGE,180000.0,home_improvement,GA,1
2182,35000,60 months,12.12,MORTGAGE,92000.0,debt_consolidation,NY,0
2032,35000,36 months,12.12,MORTGAGE,130000.0,debt_consolidation,TX,0
2072,35000,36 months,12.12,MORTGAGE,472000.0,credit_card,NY,1
2561,35000,36 months,12.12,RENT,100000.0,credit_card,NY,0
1710,35000,36 months,12.12,RENT,244000.0,major_purchase,CA,1
1552,35000,36 months,12.12,MORTGAGE,92000.0,debt_consolidation,OH,0
1820,35000,36 months,12.12,MORTGAGE,120000.0,debt_consolidation,WA,0
2493,35000,36 months,12.12,MORTGAGE,95000.0,home_improvement,CA,0
2286,35000,60 months,12.12,MORTGAGE,148000.0,small_business,TX,0
2365,35000,60 months,12.12,MORTGAGE,116000.0,debt_consolidation,NY,0
1872,35000,36 months,12.12,MORTGAGE,137150.0,debt_consolidation,WA,0
2440,35000,60 months,12.12,MORTGAGE,153000.0,debt_consolidation,VA,0
1864,35000,36 months,12.12,MORTGAGE,107244.0,debt_consolidation,AZ,0
1908,35000,36 months,12.12,MORTGAGE,650000.0,debt_consolidation,NJ,0
2394,35000,60 months,12.12,MORTGAGE,112000.0,home_improvement,DC,0
1499,35000,36 months,12.12,MORTGAGE,92000.0,house,CA,0
2536,35000,60 months,12.12,MORTGAGE,110000.0,small_business,MD,0
1758,35000,36 months,12.12,MORTGAGE,143000.0,credit_card,VA,0
2254,35000,60 months,12.12,RENT,100000.0,debt_consolidation,CA,0
1485,35000,36 months,12.12,MORTGAGE,184000.0,home_improvement,MA,0
1375,35000,36 months,12.12,RENT,90000.0,debt_consolidation,TX,0
1516,35000,36 months,12.12,MORTGAGE,135000.0,credit_card,NJ,0
1733,35000,36 months,12.12,MORTGAGE,130000.0,home_improvement,PA,0
2119,35000,36 months,12.12,MORTGAGE,167200.0,debt_consolidation,FL,0
1705,35000,36 months,12.12,MORTGAGE,131000.0,credit_card,TX,0
2647,35000,60 months,12.29,MORTGAGE,226000.0,home_improvement,TX,0
1131,35000,36 months,12.35,MORTGAGE,240000.0,debt_consolidation,CA,0
1165,35000,36 months,12.35,MORTGAGE,89093.0,major_purchase,TN,0
2724,35000,36 months,12.39,MORTGAGE,165971.0,debt_consolidation,CA,0
2728,35000,60 months,12.39,MORTGAGE,192600.0,debt_consolidation,MD,0
2721,35000,36 months,12.39,MORTGAGE,75000.0,credit_card,VA,0
93,35000,60 months,12.42,RENT,80000.0,debt_consolidation,MO,0
185,35000,60 months,12.42,MORTGAGE,106000.0,debt_consolidation,CT,0
117,35000,36 months,12.42,MORTGAGE,165000.0,home_improvement,CA,0
167,35000,60 months,12.42,OWN,83660.0,home_improvement,LA,0
213,35000,60 months,12.42,OWN,65000.0,debt_consolidation,OK,0
6,35000,60 months,12.42,MORTGAGE,105000.0,home_improvement,TX,0
27,35000,60 months,12.42,RENT,65000.0,small_business,VA,1
104,35000,36 months,12.42,MORTGAGE,185000.0,small_business,TX,0
146,35000,60 months,12.42,MORTGAGE,103200.0,wedding,VA,1
106,35000,36 months,12.42,RENT,77100.0,medical,CA,0
86,35000,60 months,12.42,MORTGAGE,109592.0,debt_consolidation,NY,1
79,35000,60 months,12.42,MORTGAGE,125000.0,debt_consolidation,NH,1
514,35000,36 months,12.68,MORTGAGE,144000.0,debt_consolidation,MA,0
448,35000,60 months,12.68,MORTGAGE,82000.0,small_business,CA,1
469,35000,60 months,12.68,MORTGAGE,85000.0,home_improvement,WV,1
486,35000,36 months,12.68,MORTGAGE,90000.0,home_improvement,MN,0
453,35000,60 months,12.68,MORTGAGE,80000.0,debt_consolidation,TX,1
474,35000,60 months,12.68,MORTGAGE,300000.0,home_improvement,OH,1
505,35000,36 months,12.68,RENT,80000.0,debt_consolidation,TX,0
134,35000,60 months,12.69,MORTGAGE,100000.0,home_improvement,CA,0
105,35000,60 months,12.69,OWN,110000.0,other,VA,1
186,35000,60 months,12.69,MORTGAGE,170000.0,debt_consolidation,NJ,0
69,35000,60 months,12.69,MORTGAGE,131000.0,home_improvement,DC,0
113,35000,60 months,12.69,RENT,120996.0,debt_consolidation,CA,0
135,35000,36 months,12.69,MORTGAGE,139000.0,debt_consolidation,FL,0
124,35000,60 months,12.69,MORTGAGE,66000.0,major_purchase,OH,0
28,35000,60 months,12.69,RENT,60000.0,small_business,CT,1
150,35000,60 months,12.69,MORTGAGE,146885.0,debt_consolidation,VA,0
537,35000,36 months,12.85,RENT,100000.0,credit_card,WA,1
550,35000,36 months,12.85,MORTGAGE,150000.0,debt_consolidation,NY,0
598,35000,36 months,12.85,RENT,180000.0,house,WA,1
586,35000,36 months,12.85,RENT,93500.0,debt_consolidation,VA,1
2596,35000,36 months,12.85,OWN,103000.0,home_improvement,SC,1
553,35000,36 months,12.85,MORTGAGE,109456.0,debt_consolidation,TX,0
588,35000,36 months,12.85,MORTGAGE,125000.0,debt_consolidation,OR,0
630,35000,36 months,12.85,MORTGAGE,120000.0,debt_consolidation,CT,0
2594,35000,36 months,12.85,MORTGAGE,101000.0,debt_consolidation,CA,0
288,35000,36 months,12.99,RENT,75000.0,debt_consolidation,CA,1
817,35000,36 months,12.99,OWN,322000.0,debt_consolidation,TX,0
305,35000,36 months,12.99,MORTGAGE,170000.0,credit_card,TX,0
418,35000,60 months,12.99,MORTGAGE,80000.0,small_business,MT,1
750,35000,36 months,12.99,MORTGAGE,440000.0,home_improvement,NY,0
314,35000,60 months,12.99,MORTGAGE,65000.0,home_improvement,NY,1
776,35000,36 months,12.99,OWN,225000.0,debt_consolidation,TX,0
680,35000,36 months,12.99,MORTGAGE,200000.0,credit_card,UT,1
226,35000,60 months,12.99,MORTGAGE,125000.0,debt_consolidation,MD,0
334,35000,60 months,12.99,RENT,45000.0,small_business,NY,0
662,35000,36 months,12.99,RENT,160000.0,debt_consolidation,CA,0
340,35000,36 months,12.99,MORTGAGE,165000.0,small_business,FL,0
645,35000,36 months,12.99,MORTGAGE,182200.0,debt_consolidation,CA,0
283,35000,36 months,12.99,MORTGAGE,80000.0,small_business,CA,0
643,35000,36 months,12.99,RENT,112000.0,credit_card,SC,0
834,35000,36 months,12.99,MORTGAGE,115000.0,debt_consolidation,FL,0
972,35000,36 months,12.99,RENT,120000.0,major_purchase,CA,0
2702,35000,36 months,12.99,RENT,380000.0,debt_consolidation,CA,0
2701,35000,60 months,12.99,MORTGAGE,208000.0,debt_consolidation,TX,0
894,35000,36 months,12.99,OWN,112000.0,debt_consolidation,CA,0
2689,35000,36 months,12.99,MORTGAGE,115000.0,debt_consolidation,CA,0
678,35000,36 months,12.99,MORTGAGE,80000.0,debt_consolidation,TX,0
732,35000,36 months,12.99,RENT,95000.0,debt_consolidation,CA,0
752,35000,36 months,12.99,OWN,175000.0,debt_consolidation,CT,0
359,35000,60 months,12.99,MORTGAGE,120000.0,debt_consolidation,NY,0
